Ca1,1-9-755-50.10.37-005.37-45-1.208.69-700-290-600V-1-7-600-385y-001-280-1-226.74f-220.11-380.11-2-34-2-34V?-670.10?-606?-1-606?-370.50V-9*
Ca2,47:5-206?-22t?-201-385.70-225-600-755-215?-770b-370.70-770b-73.6-201-070-91-91-74.62-594.61-70-83-7-61-380.1-067.22f-67.1*
Ca3,380.1-22f-254.63-5t-380.1-22f-243-1t-4.52x-380.1-22f.254-29-74?-17-380.1-022f.252-252f-380.1-22f.254-50.10-79-380.1-286s.2-1-7-290*
Ca4,31-31.3-5-200.66-4.760-65V-200.200.200-400-66-4-760-4-73f?-001-5-48f.1-5-10f.1-5-73f?-777-777-760-608-073f?-91-91-730-730*
Ca5,?-5-1-?-1-073f?.73f?-91-730-730-22-22-41-2-1-36-550-22f-280-385y-385-38-7-600-1-214-700-700-700-408-700-1.214-042:009-81-81-5*
Ca6,5-5-1.6-5f-2V?-2V?-002V?-1.6-381f-381f-381f-1.6-774.67.774?-70-600V-773-280-1.6-390.41-315y-41-670-8.78.711-40.10-40-030a-390.41-375-41*
Ca7,40-40-40-40-40-40-390.41-378-041-670-8.78.711-40-74f.40-59f-40-390.41-378y-41h-670-8.78.711-44.40-40-143-152-600.390.41-378y-41-670y-8-078.711-40-40*
Ca8,378y-041h-670-8.78.711-40-40-3.40-390.41-378y-41-670-8.78.711-600-40-40-40-40-40-390.41-378y-41-670-8.78.711-280-385y-385*
Ca9,40-40-520-70-670-670-637-34V-017-325y-41-630-54-630-047-6.11-299-2-002-200-215.2-10.2-5-2-69-002-200.200.205*
Ca10,2-2-52x.73f-384.2-481.2-73f?-70-760-040-6-400-47-72.2-072.2-10f.70-760-40-6-400-2-2-10f.70-760-040-6-430-47-2-290*
Ca11,2-2-290-10f.70-760-040-6-400-47-2-2-2-290-2-10f.70-760-040-6-430-47-2-4-760-2-2-4-760-2-2-002-4.763-2-10f.70*
Ca12,760-40-6-430y-047-222-2-47-060-10.8-326-275.8-60-70-50-060-28-60-383.94b-481-67-2-41-20f-60-67.75-67.64?-545*
Ca13,49.6-49.6-670-306.3-226.3-206s-607-486.108-69.107-46-200.200.200.22f?-3.84.3-207.3-85.10f-67-060-200.?-520f-088*
Ca14,?-?.1.63-1-670-3.22f.3-57-3.24.3-86.1-47-3-1-064-65f-86-1-380.1-290-1-290-20-290-95f-1-290-683-001-290*
